市场,股票代码,股票名称,发行总数(万股),上市价格,每手股数,币种,申购起始,申购结束,上市时间
HK,01987,Beng Soon Mach,25000.00,0.50,4000,港元,2019-10-22,2019-10-25,2019-11-08
HK,01821,ESR,75173.20,16.80,200,港元,2019-10-22,2019-10-25,2019-11-01
HK,01847,云南建投混凝土,13388.20,3.36,1000,港元,2019-10-21,2019-10-24,2019-10-31
HK,00302,中手游,46100.00,2.83,2000,港元,2019-10-19,2019-10-24,2019-10-31
HK,06855,亚盛医药-B,1218.09,34.20,100,港元,2019-10-16,2019-10-21,2019-10-28
HK,01692,登辉控股,10000.00,1.30,2000,港元,2019-10-15,2019-10-18,2019-10-25
HK,01853,春城热力,11670.00,2.35,2500,港元,2019-09-27,2019-10-17,2019-10-24
HK,01871,向中国际,10000.00,1.28,4000,港元,2019-10-11,2019-10-16,2019-10-24
HK,01959,世纪联合控股,12500.00,1.08,2000,港元,2019-09-30,2019-10-11,2019-10-18
HK,02606,蓝光嘉宝服务,4291.62,37.00,100,港元,2019-10-08,2019-10-11,2019-10-18
HK,08441,国际永胜集团,20000.00,0.32,10000,港元,2019-09-30,2019-10-09,2019-10-22
HK,01084,绿新亲水胶体,20000.00,1.16,2000,港元,2019-09-30,2019-10-09,2019-10-17
HK,01283,高升集团控股,20000.00,0.73,5000,港元,2019-09-27,2019-10-08,2019-10-18
HK,01846,德视佳,7933.40,7.50,1000,港元,2019-09-30,2019-10-08,2019-10-15
HK,01843,快餐帝国,20000.00,0.65,4000,港元,2019-09-30,2019-10-08,2019-10-23
HK,01967,信恳智能,6250.00,2.00,2000,港元,2019-09-28,2019-10-04,2019-10-18
HK,01582,华营建筑,13885.00,1.00,2500,港元,2019-09-27,2019-10-03,2019-10-16
HK,08418,傲迪玛汽车,25000.00,0.24,10000,港元,2019-09-27,2019-10-03,2019-10-11
HK,01955,庄臣控股,12500.00,1.00,2000,港元,2019-09-27,2019-10-03,2019-10-16
HK,03601,鲁大师,6000.00,2.70,1000,港元,2019-09-26,2019-10-02,2019-10-10
HK,06110,滔搏,93018.40,8.50,1000,港元,2019-09-26,2019-10-02,2019-10-10
HK,01895,鑫苑服务,12500.00,2.08,1000,港元,2019-09-25,2019-09-30,2019-10-11
HK,06820,友谊时光,33000.00,1.52,2000,港元,2019-09-24,2019-09-27,2019-10-08
HK,01876,百威亚太,145170.40,27.00,100,港元,2019-09-18,2019-09-23,2019-09-30
HK,03938,LFG投资控股,7200.00,1.68,2000,港元,2019-09-17,2019-09-20,2019-09-30
